m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,bed_pos,it_pos,sr_pos,ir_pos,b_name
1,54312549,22.09,5,5,3,3,1,1,1,1,BenchmarkScanComments/10ValidUtf8
2,54486925,22.06,5,5,3,3,2,1,1,1,BenchmarkScanComments/10ValidUtf8
3,54203187,21.98,5,5,3,3,3,1,1,1,BenchmarkScanComments/10ValidUtf8
4,54321778,22.01,5,5,3,3,4,1,1,1,BenchmarkScanComments/10ValidUtf8
5,53597384,22.03,5,5,3,3,5,1,1,1,BenchmarkScanComments/10ValidUtf8
6,53618976,22.11,5,5,3,3,1,2,1,1,BenchmarkScanComments/10ValidUtf8
7,53534092,21.93,5,5,3,3,2,2,1,1,BenchmarkScanComments/10ValidUtf8
8,54763532,22.04,5,5,3,3,3,2,1,1,BenchmarkScanComments/10ValidUtf8
9,53097501,21.97,5,5,3,3,4,2,1,1,BenchmarkScanComments/10ValidUtf8
10,52299276,22.15,5,5,3,3,5,2,1,1,BenchmarkScanComments/10ValidUtf8
11,54382846,22.08,5,5,3,3,1,3,1,1,BenchmarkScanComments/10ValidUtf8
12,54723746,22.01,5,5,3,3,2,3,1,1,BenchmarkScanComments/10ValidUtf8
13,53951926,22.13,5,5,3,3,3,3,1,1,BenchmarkScanComments/10ValidUtf8
14,53818604,22.2,5,5,3,3,4,3,1,1,BenchmarkScanComments/10ValidUtf8
15,54693073,21.99,5,5,3,3,5,3,1,1,BenchmarkScanComments/10ValidUtf8
16,54630351,22.08,5,5,3,3,1,4,1,1,BenchmarkScanComments/10ValidUtf8
17,54586348,22.11,5,5,3,3,2,4,1,1,BenchmarkScanComments/10ValidUtf8
18,53915760,22.02,5,5,3,3,3,4,1,1,BenchmarkScanComments/10ValidUtf8
19,54078961,21.92,5,5,3,3,4,4,1,1,BenchmarkScanComments/10ValidUtf8
20,53382193,22.1,5,5,3,3,5,4,1,1,BenchmarkScanComments/10ValidUtf8
21,53778284,22.03,5,5,3,3,1,5,1,1,BenchmarkScanComments/10ValidUtf8
22,53517447,21.93,5,5,3,3,2,5,1,1,BenchmarkScanComments/10ValidUtf8
23,53937973,22.01,5,5,3,3,3,5,1,1,BenchmarkScanComments/10ValidUtf8
24,49430197,22.12,5,5,3,3,4,5,1,1,BenchmarkScanComments/10ValidUtf8
25,52686626,22.07,5,5,3,3,5,5,1,1,BenchmarkScanComments/10ValidUtf8
26,54334839,22.06,5,5,3,3,1,1,2,1,BenchmarkScanComments/10ValidUtf8
27,54537387,21.98,5,5,3,3,2,1,2,1,BenchmarkScanComments/10ValidUtf8
28,54445843,21.99,5,5,3,3,3,1,2,1,BenchmarkScanComments/10ValidUtf8
